location_x,location_y, heading,speed, accelaration
11986594.5326944962 ,3836570.8211880052, -6.858088, 8.622773 , -11.549857
11986596.8522771206 ,3836569.3031855454, -6.848566, 8.648792 , -11.225865
11986599.2222641986 ,3836567.7668609270, -6.827991, 8.835288 , -11.674382
11986601.6155032050 ,3836566.2467342191, -6.794098, 8.899450 , -11.454439
11986604.0752370562 ,3836564.7525487221, -6.764838, 8.862975 , -11.227877
11986606.6288382784 ,3836563.3150337138, -6.820898, 9.207937 , -12.102094
11986609.3620160613 ,3836561.8803201187, -6.794024, 9.235285 , -11.584647
11986611.9972307533 ,3836560.3188949302, -6.778058, 9.339578 , -11.774602
11986614.7166668307 ,3836558.7903030748, -6.771557, 9.482929 , -11.857527
11986617.5193029474 ,3836557.2745132037, -6.757258, 9.468320 , -11.620049
11986620.3803154752 ,3836555.7530110315, -6.746006, 9.378592 , -11.442115
11986623.2851644196 ,3836554.2596719419, -6.748844, 9.320691 , -11.492955
11986626.2115130983 ,3836552.7971643787, -6.732010, 9.206179 , -11.304327
11986629.0928841233 ,3836551.3496330190, -6.730363, 9.072982 , -11.174613
11986631.9785470348 ,3836549.9567080168, -6.730459, 8.953088 , -11.132299
11986634.8243737090 ,3836548.5914329523, -6.732690, 8.857217 , -11.154330
11986637.6256047115 ,3836547.2476835786, -6.732371, 8.853546 , -11.259509
11986640.3765474260 ,3836545.9209095980, -6.755985, 8.927686 , -11.435905
11986653.8980160691 ,3836538.2348429677, -6.752851, 9.003430 , -11.491295
11986656.6105763335 ,3836536.8516933979, -6.739233, 9.056820 , -11.444784
11986659.3306785449 ,3836535.4707950028, -6.731052, 9.069310 , -11.393766
11986662.0978180692 ,3836534.1109240130, -6.727836, 9.063010 , -11.368817
11986664.8960562292 ,3836532.7649375368, -6.715037, 9.030655 , -11.300264
11986667.6899572406 ,3836531.4330381919, -6.696690, 8.964514 , -11.191340
11986670.4855222236 ,3836530.1423480297, -6.688808, 8.945006 , -11.267263
11986673.2992340084 ,3836528.9042887781, -6.676255, 8.881293 , -11.118873
11986676.1062835418 ,3836527.6972647524, -6.658535, 8.769459 , -10.964285
11986678.9001009017 ,3836526.5365659967, -6.635946, 8.376616 , -10.289650
11986681.6702060755 ,3836525.4419740988, -6.744563, 8.310790 , -10.962597
11986684.5316233002 ,3836524.3840579791, -6.706582, 8.349814 , -11.025146
11986687.0120653417 ,3836523.1678422000, -6.653341, 8.194754 , -10.541061
